regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU16470	BSU07360	20.0	20.0	0.93390719418888701	0.99940572442281206	1
BSU10560	BSU10530	20.0	20.0	0.93577674156128743	0.99940277954879231	1
BSU02450	BSU02420	20.0	20.0	0.94169782569861049	0.99940150343671708	1
BSU13920	BSU13930	-20.0	20.0	0.93287552349269354	0.99940042364957649	-1
BSU25760	BSU06300	20.0	20.0	0.93619849039388403	0.99940042364957649	1
BSU15330	BSU09180	20.0	20.0	0.9431995003508935	0.99939747877555674	1
BSU32560	BSU32570	-20.0	20.0	0.93360755845654342	0.9993962026634815	-1
BSU38220	BSU38229	-20.0	20.0	0.93367495109612242	0.99939502471387354	-1
BSU15330	BSU09360	20.0	20.0	0.95006013937640499	0.99939207983985379	0
BSU16470	BSU35330	20.0	20.0	0.9360767090416735	0.99939178535245188	1
BSU25250	BSU29020	-20.0	20.0	0.93236197115575947	0.99939021475297463	-1
BSU24250	BSU37770	20.0	20.0	0.93895576932185298	0.99938776069129154	1
BSU16170	BSU12930	-20.0	20.0	0.93570916112342206	0.99938167461831728	-1
BSU10420	BSU24690	20.0	20.0	0.93782602519965486	0.99937696281988575	1
BSU07820	BSU07810	-20.0	20.0	0.92953761399901103	0.99937499957053921	-1
BSU15320	BSU15090	20.0	20.0	0.93490213067164707	0.99937421427080064	1
BSU23450	BSU07140	20.0	20.0	0.93162208155579251	0.99937254550885612	0
BSU15330	BSU33340	20.0	20.0	0.93426628058869499	0.99937225102145411	1
BSU16470	BSU35340	20.0	20.0	0.93240802127147304	0.99937058225950959	1
BSU16470	BSU35320	20.0	20.0	0.93499765638107646	0.99936803003535912	1
BSU25100	BSU03350	-20.0	20.0	0.93270790273410298	0.99936763738548984	-1
BSU15320	BSU32270	20.0	20.0	0.92947155897613853	0.99936479067393735	1
BSU01540	BSU09990	-20.0	20.0	0.94669718701271299	0.99936243477472153	-1
BSU25760	BSU14569	20.0	20.0	0.93406677729372545	0.99936076601277701	0
BSU25760	BSU10930	20.0	20.0	0.93163831222824245	0.99935752665135524	1
BSU15330	BSU32860	20.0	20.0	0.9579297740456707	0.99935183322825039	1
BSU18420	BSU14850	20.0	20.0	0.93332800267229143	0.99934839754189397	1
BSU15320	BSU18230	20.0	20.0	0.93848292919124887	0.99934545266787422	1
BSU15330	BSU01550	20.0	20.0	0.94737773870207254	0.99934231146891983	1
BSU27520	BSU29380	-20.0	20.0	0.94498761771268691	0.99933671620828235	-1
BSU15330	BSU13510	20.0	20.0	0.93856794226143747	0.9993358327460764	0
BSU25760	BSU39580	20.0	20.0	0.93080183089290758	0.99932591833687656	1
BSU16470	BSU31240	20.0	20.0	0.92841636531124605	0.99932532936207252	1
BSU34170	BSU34140	-20.0	20.0	0.93110107028414346	0.9993229734628567	-1
BSU16470	BSU14010	20.0	20.0	0.94316555235710797	0.99932120653844492	1
BSU12560	BSU12730	20.0	20.0	0.93055996364967897	0.99932051940117361	0
BSU24250	BSU11190	-20.0	20.0	0.93088089336421498	0.99931590576520934	-1
BSU36600	BSU26590	20.0	20.0	0.92672681545332991	0.99931364802846079	1
BSU25760	BSU19770	20.0	20.0	0.93024361485903251	0.99931296089118959	1
BSU15320	BSU09770	20.0	20.0	0.93274876213245661	0.99931099764184306	1
BSU15320	BSU27980	20.0	20.0	0.93602682494026146	0.99930392994419559	1
BSU15330	BSU13509	20.0	20.0	0.93689427525978042	0.9993032428069244	0
BSU03230	BSU03200	20.0	20.0	0.92533884790555088	0.99930177036991441	1
BSU15330	BSU03710	20.0	20.0	0.92643816753863795	0.99929892365836204	1
BSU15330	BSU27470	20.0	20.0	0.92695636107557489	0.99929686224654823	1
BSU25760	BSU19790	20.0	20.0	0.92684782371164687	0.99929450634733241	1
BSU29400	BSU29370	20.0	20.0	0.93311273956989449	0.99929323023525718	1
BSU15330	BSU31380	20.0	20.0	0.92659766393940746	0.9992931320727898	1
BSU03230	BSU03210	20.0	20.0	0.92924317756237396	0.99929283758538789	1
BSU15330	BSU32340	20.0	20.0	0.93817686777643017	0.99928881292422755	0
